Country,year,density
"Arab World","2013","27.6406205641985"
"Caribbean small states","2013","17.2304656045449"
"Central Europe and the Baltics","2013","93.943337110497"
"Early-demographic dividend","2013","91.6776259958602"
"East Asia & Pacific","2013","92.217980541382"
"East Asia & Pacific (excluding high income)","2013","126.060756854635"
"East Asia & Pacific (IDA & IBRD countries)","2013","125.444091314123"
"Euro area","2013","126.503143390515"
"Europe & Central Asia","2013","32.8294571318453"
"Europe & Central Asia (excluding high income)","2013","17.9649338250875"
"Europe & Central Asia (IDA & IBRD countries)","2013","19.5219887880113"
"European Union","2013","119.878144273997"
"Fragile and conflict affected situations","2013","31.2757589808142"
"Heavily indebted poor countries (HIPC)","2013","34.5602254156979"
"High income","2013","33.4994855460478"
"IBRD only","2013","65.4097348521774"
"IDA & IBRD total","2013","62.9515144857926"
"IDA blend","2013","82.4059644104752"
"IDA only","2013","48.4953161214183"
"IDA total","2013","56.8823650478956"
"Late-demographic dividend","2013","49.9024720705377"
"Latin America & Caribbean","2013","30.9110659672472"
"Latin America & Caribbean (excluding high income)","2013","31.0139767525783"
"Latin America & the Caribbean (IDA & IBRD countries)","2013","30.2982095389683"
"Least developed countries: UN classification","2013","45.1267145961531"
"Low & middle income","2013","63.3947522329216"
"Low income","2013","45.1829540103993"
"Lower middle income","2013","130.706331952202"
"Middle East & North Africa","2013","36.3769323123312"
"Middle East & North Africa (excluding high income)","2013","40.5108071106935"
"Middle East & North Africa (IDA & IBRD countries)","2013","40.0561912206646"
"Middle income","2013","66.3931614545616"
"North America","2013","19.2779058471639"
"OECD members","2013","36.8512580876335"
"Other small states","2013","13.6071133986605"
"Pacific island small states","2013","35.7606542056075"
"Post-demographic dividend","2013","34.610398233142"
"Pre-demographic dividend","2013","39.8132710713147"
"Small states","2013","14.762896174142"
"South Asia","2013","355.876690662228"
"South Asia (IDA & IBRD)","2013","355.876690662228"
"Sub-Saharan Africa","2013","40.1519215816715"
"Sub-Saharan Africa (excluding high income)","2013","40.1488886755855"
"Sub-Saharan Africa (IDA & IBRD countries)","2013","40.1519215816715"
"Upper middle income","2013","42.8899345926027"
"World","2013","55.3128509964695"
"Afghanistan","2013","46.9970590938333"
"Albania","2013","105.717226277372"
"Algeria","2013","16.0328730256031"
"American Samoa","2013","276.51"
"Andorra","2013","161.493617021277"
"Angola","2013","18.8082152883613"
"Antigua and Barbuda","2013","204.511363636364"
"Argentina","2013","15.5437057174908"
"Armenia","2013","105.099824376537"
"Aruba","2013","571.783333333333"
"Australia","2013","3.00917082123843"
"Austria","2013","102.741697059287"
"Azerbaijan","2013","113.923480806688"
"Bahamas, The","2013","37.7463536463536"
"Bahrain","2013","1752.5025974026"
"Bangladesh","2013","1207.32422217101"
"Barbados","2013","656.983720930233"
"Belarus","2013","46.651224680893"
"Belgium","2013","369.313639365918"
"Belize","2013","15.0895659798334"
"Benin","2013","91.5416105001774"
"Bermuda","2013","1300.02"
"Bhutan","2013","19.7979116929454"
"Bolivia","2013","9.60023169943691"
"Bosnia and Herzegovina","2013","74.67837890625"
"Botswana","2013","3.84047077091384"
"Brazil","2013","24.4383770791109"
"British Virgin Islands","2013","193.72"
"Brunei Darussalam","2013","78.0833017077799"
"Bulgaria","2013","66.922577376566"
"Burkina Faso","2013","62.4435453216374"
"Burundi","2013","407.552920560748"
"Cabo Verde","2013","125.87047146402"
"Cambodia","2013","85.4212780421482"
"Cameroon","2013","46.9868756743035"
"Canada","2013","3.86599882773538"
"Cayman Islands","2013","243.204166666667"
"Central African Republic","2013","7.56152364441876"
"Chad","2013","10.439793519695"
"Channel Islands","2013","853.357894736842"
"Chile","2013","23.6383007052824"
"China","2013","144.583456848168"
"Colombia","2013","42.6699981973862"
"Comoros","2013","403.921010209565"
"Congo, Dem. Rep.","2013","32.0032028406961"
"Congo, Rep.","2013","12.8677423133236"
"Costa Rica","2013","92.1745593419506"
"Cote d'Ivoire","2013","67.995251572327"
"Croatia","2013","76.0487669764117"
"Cuba","2013","106.741303347143"
"Curacao","2013","346.445945945946"
"Cyprus","2013","123.555411255411"
"Czech Republic","2013","136.142328110838"
"Denmark","2013","132.334008955927"
"Djibouti","2013","37.2974115616911"
"Dominica","2013","96.0066666666667"
"Dominican Republic","2013","212.777483443709"
"Ecuador","2013","63.0589144789821"
"Egypt, Arab Rep.","2013","88.0143744035361"
"El Salvador","2013","293.901737451737"
"Equatorial Guinea","2013","28.4164705882353"
"Estonia","2013","31.0921679641425"
"Ethiopia","2013","94.558374"
"Faroe Islands","2013","34.5931232091691"
"Fiji","2013","48.1930487137384"
"Finland","2013","17.8978314521702"
"France","2013","120.484437236671"
"French Polynesia","2013","75.6191256830601"
"Gabon","2013","6.40490161834905"
"Gambia, The","2013","184.474110671937"
"Georgia","2013","66.0624934392386"
"Germany","2013","235.647997360418"
"Ghana","2013","114.988274589083"
"Gibraltar","2013","3172"
"Greece","2013","85.067579519007"
"Greenland","2013","0.137612376659764"
"Grenada","2013","311.476470588235"
"Guam","2013","305.77962962963"
"Guatemala","2013","146.423973497574"
"Guinea","2013","48.6274051766238"
"Guinea-Bissau","2013","62.4871266002845"
"Guyana","2013","3.86605537211074"
"Haiti","2013","378.492343976778"
"Honduras","2013","70.149781034945"
"Hong Kong SAR, China","2013","6845.2380952381"
"Hungary","2013","109.27959792334"
"Iceland","2013","3.22956608478803"
"India","2013","430.345478761869"
"Indonesia","2013","138.701941409937"
"Iran, Islamic Rep.","2013","47.3749316876976"
"Iraq","2013","78.5304982501382"
