country,life expectancy,national income per capita,population density,air pollution,sanitation facility,education expenditure,clean water source,health expenditure,urban population percentage,carbon dioxide emission
Argentina,76.0191,12463.298466934299,15.543705717490802,13.2,95.8,4.52,98.8,731.4512884,91.45200000000001,4.46229797972199
Azerbaijan,72.23805,5122.94111462082,113.923480806688,22.5,86.3,2.56,85.3,432.418509,54.1,3.7850688360091698
Benin,59.45502,814.453237488858,91.5416105001774,34.1,19.0,4.69,77.0,36.95635544,43.086000000000006,0.561654398002293
Burkina Faso,58.95446,564.474000606719,62.4435453216374,41.3,19.0,4.31,81.9,42.2125761,28.186,0.179008360417252
Cameroon,56.43423000000001,1121.76995985951,46.986875674303505,70.9,45.4,2.68,75.1,57.149707799999995,53.25,0.306750487570081
Colombia,74.39403,6192.73744041222,42.6699981973862,17.9,80.6,3.71763539853319,91.3,549.37060753,75.883,1.8931278736551398
Czech Republic,78.22158,14186.795573764499,136.14232811083798,19.4,99.1,4.09,100.0,1412.7926857,73.06,9.383496546408539
Guinea,58.84431,335.29416696037003,48.627405176623796,23.2,19.4,3.07,75.7,28.64896871,36.209,0.19242294115707398
Jordan,73.85904000000002,4184.3567215329995,81.2664113539085,34.7,98.6,4.24620181223999,96.9,336.79188459,83.211,3.43836904310454
Japan,83.52387,31850.8103114621,349.294000987492,12.2,100.0,3.24474966475832,100.0,3960.20307293,92.491,9.764393145108741
Cambodia,67.79114,844.277706045065,85.4212780421482,23.0,39.0,1.63,71.1,60.44287728,20.319000000000003,0.369653237536413
Lebanon,74.8673,7214.506360017,516.812316715542,28.1,80.7,2.1,99.0,597.18713684,87.54799999999999,4.27112326673589
Malawi,56.68938000000001,185.575958931281,171.723865082732,23.1,40.1,6.23666666666658,86.5,26.29449749,15.944,0.0785941381802711
Pakistan,65.98781,1229.3573206787,235.046500103778,62.4,60.0,1.78811882660317,91.1,33.63909619,37.86,0.846439474149519
Romania,74.60338,9053.07750257472,86.8742903099596,18.7,78.6,2.81,100.0,535.47585465,54.235,3.53970760059214
Singapore,82.67023,46953.5440438468,7636.7213578500705,18.0,100.0,2.76,100.0,2531.50112234,100.0,9.363847389650472
Solomon Islands,68.82217,1154.1642033391802,20.031618435155398,4.6,29.2,9.94,80.6,102.46916045,21.421,0.353171566922604
Albania,77.20966999999997,3739.61135436052,105.71722627737199,15.0,92.7,2.842804,95.2,253.3418956,55.383,1.66218482579198
Armenia,74.36308000000002,3380.96214522765,105.099824376537,20.7,89.5,2.55,99.9,158.98019679,62.975,1.83705891867902
Burundi,58.60011,180.71112807003502,407.55292056074796,39.0,47.8,5.17552164109771,75.5,20.85880811,11.472000000000001,0.0280299206217032
Bulgaria,74.12443,6308.80887147489,66.922577376566,26.1,86.0,3.57,99.5,606.02521341,73.3,5.44564855477167
Bahrain,76.65276,14361.6733105779,1752.5025974026,65.5,99.2,2.91,100.0,1142.49525375,88.667,23.682574159254305
Belize,69.79741,3408.7368001962896,15.0895659798334,20.9,90.6,6.39,99.5,273.26732957,44.298,1.50220080013248
Bhutan,69.06744,1807.0219779799302,19.797911692945398,52.8,49.7,3.37,99.1,90.30481970000001,37.139,1.17108888114418
Botswana,64.21846,5168.59972327975,3.84047077091384,16.3,63.3,9.48,96.2,396.60186880000003,56.938,2.49183003983441
Costa Rica,79.44211999999997,9479.38837838386,92.17455934195058,18.1,94.5,7.071508843814749,97.6,990.34772764,74.956,1.61828692770087
Ecuador,76.01488,4705.28027931809,63.0589144789821,15.6,83.8,3.93,86.4,439.56215163,63.298,2.7792875845906098
Finland,80.7297,40035.6410458298,17.8978314521702,6.7,97.6,6.75,100.0,4518.96928241,83.95200000000001,8.51255384289531
United Kingdom,80.68333,35909.4784270636,265.06934237176,12.0,99.2,5.37,100.0,3684.74751976,82.09200000000001,7.13372170937646
Equatorial Guinea,57.38615,1471.43596517219,28.416470588235303,32.7,74.5,1.0,47.7,729.74788482,39.603,6.79038292170693
Honduras,74.27006,1988.30997965613,70.14978103494501,35.5,81.3,6.33,90.0,214.18674244,53.537,1.1548930897321599
Haiti,62.69797,766.270220585813,378.49234397677805,21.7,27.1,1.461652,58.0,65.14928614,56.168,0.23061015991469502
India,67.61797,1246.32176895538,430.34547876186895,67.4,38.5,3.08,93.1,68.53283666,31.994,1.59027282895444
Kazakhstan,69.52629,8583.944275227841,6.3100622291365704,15.9,97.5,3.12827381550367,93.0,582.09765059,53.361000000000004,15.432794480864
