,PUBLISHSTATE,YEAR,Country,SEX,Display Value,Numeric,Low,High,Comments
0,PUBLISHED,2013,Argentina,BTSX,76.0,76.0191,,,
1,PUBLISHED,2013,Azerbaijan,BTSX,72.2,72.23805,,,
2,PUBLISHED,2013,Benin,BTSX,59.5,59.45502,,,
3,PUBLISHED,2013,Burkina Faso,BTSX,59.0,58.95446,,,
4,PUBLISHED,2013,Cameroon,BTSX,56.4,56.43423000000001,,,
5,PUBLISHED,2013,Colombia,BTSX,74.4,74.39403,,,
6,PUBLISHED,2013,Czech Republic,BTSX,78.2,78.22158,,,
7,PUBLISHED,2013,Guinea,BTSX,58.8,58.84431,,,
8,PUBLISHED,2013,Jordan,BTSX,73.9,73.85904000000001,,,
9,PUBLISHED,2013,Japan,BTSX,83.5,83.52387,,,
10,PUBLISHED,2013,Cambodia,BTSX,67.8,67.79114,,,
11,PUBLISHED,2013,Lebanon,BTSX,74.9,74.8673,,,
12,PUBLISHED,2013,Malawi,BTSX,56.7,56.68938000000001,,,
13,PUBLISHED,2013,Pakistan,BTSX,66.0,65.98781,,,
14,PUBLISHED,2013,Romania,BTSX,74.6,74.60338,,,
15,PUBLISHED,2013,Singapore,BTSX,82.7,82.67023,,,
16,PUBLISHED,2013,Solomon Islands,BTSX,68.8,68.82217,,,
17,PUBLISHED,2013,Turkmenistan,BTSX,65.4,65.35018000000001,,,
18,PUBLISHED,2013,Timor-Leste,BTSX,67.7,67.67768000000001,,,
19,PUBLISHED,2013,"Tanzania, United Republic of",BTSX,59.7,59.698190000000004,,,
20,PUBLISHED,2013,Yemen,BTSX,65.4,65.35676,,,
21,PUBLISHED,2013,Albania,BTSX,77.2,77.20966999999999,,,
22,PUBLISHED,2013,Armenia,BTSX,74.4,74.36308000000001,,,
23,PUBLISHED,2013,Burundi,BTSX,58.6,58.60011,,,
24,PUBLISHED,2013,Bulgaria,BTSX,74.1,74.12443,,,
25,PUBLISHED,2013,Bahrain,BTSX,76.7,76.65276,,,
26,PUBLISHED,2013,Belize,BTSX,69.8,69.79741,,,
27,PUBLISHED,2013,"Bolivia, Plurinational State of",BTSX,70.1,70.0771,,,
28,PUBLISHED,2013,Bhutan,BTSX,69.1,69.06744,,,
29,PUBLISHED,2013,Botswana,BTSX,64.2,64.21846,,,
30,PUBLISHED,2013,Congo,BTSX,63.9,63.94545,,,
31,PUBLISHED,2013,Costa Rica,BTSX,79.4,79.44211999999999,,,
32,PUBLISHED,2013,Ecuador,BTSX,76.0,76.01488,,,
33,PUBLISHED,2013,Egypt,BTSX,70.9,70.85864000000001,,,
34,PUBLISHED,2013,Finland,BTSX,80.7,80.7297,,,
35,PUBLISHED,2013,United Kingdom,BTSX,80.7,80.68333,,,
36,PUBLISHED,2013,Equatorial Guinea,BTSX,57.4,57.38615,,,
37,PUBLISHED,2013,Honduras,BTSX,74.3,74.27006,,,
38,PUBLISHED,2013,Haiti,BTSX,62.7,62.69797,,,
39,PUBLISHED,2013,India,BTSX,67.6,67.61797,,,
40,PUBLISHED,2013,Kazakhstan,BTSX,69.5,69.52629,,,
41,PUBLISHED,2013,Luxembourg,BTSX,81.4,81.44892,,,
42,PUBLISHED,2013,Latvia,BTSX,74.1,74.06218,,,
43,PUBLISHED,2013,Madagascar,BTSX,64.7,64.71928,,,
44,PUBLISHED,2013,Maldives,BTSX,77.9,77.88964,,,
45,PUBLISHED,2013,Mexico,BTSX,76.6,76.63389000000001,,,
46,PUBLISHED,2013,Malta,BTSX,81.1,81.09828,,,
47,PUBLISHED,2013,Montenegro,BTSX,75.8,75.80651999999999,,,
48,PUBLISHED,2013,Mauritania,BTSX,62.7,62.742180000000005,,,
49,PUBLISHED,2013,Nigeria,BTSX,53.2,53.16155,,,
50,PUBLISHED,2013,Russian Federation,BTSX,70.0,69.99681,,,
51,PUBLISHED,2013,Somalia,BTSX,54.2,54.20847,,,
52,PUBLISHED,2013,Sao Tome and Principe,BTSX,67.1,67.14532,,,
53,PUBLISHED,2013,Slovakia,BTSX,76.1,76.09109000000001,,,
54,PUBLISHED,2013,Thailand,BTSX,74.5,74.46014,,,
55,PUBLISHED,2013,Tajikistan,BTSX,69.3,69.27447,,,
56,PUBLISHED,2013,Ukraine,BTSX,71.0,70.98906,,,
57,PUBLISHED,2013,Viet Nam,BTSX,75.7,75.70721999999999,,,
58,PUBLISHED,2013,Samoa,BTSX,73.6,73.58279,,,
59,PUBLISHED,2013,Belgium,BTSX,80.7,80.66297,,,
60,PUBLISHED,2013,Brunei Darussalam,BTSX,77.1,77.07726,,,
61,PUBLISHED,2013,"Congo, The Democratic Republic of the",BTSX,58.8,58.77653000000001,,,
62,PUBLISHED,2013,Djibouti,BTSX,62.7,62.677409999999995,,,
63,PUBLISHED,2013,Denmark,BTSX,80.1,80.14989,,,
64,PUBLISHED,2013,Spain,BTSX,82.4,82.38602,,,
65,PUBLISHED,2013,Georgia,BTSX,74.5,74.54204,,,
66,PUBLISHED,2013,Croatia,BTSX,77.7,77.65092,,,
67,PUBLISHED,2013,"Iran, Islamic Republic of",BTSX,75.3,75.26443,,,
68,PUBLISHED,2013,Israel,BTSX,82.1,82.10788000000001,,,
69,PUBLISHED,2013,"Korea, Republic of",BTSX,81.7,81.68476,,,
70,PUBLISHED,2013,Kuwait,BTSX,74.5,74.45224,,,
71,PUBLISHED,2013,Lithuania,BTSX,73.0,73.0193,,,
72,PUBLISHED,2013,Nepal,BTSX,69.3,69.27148000000001,,,
73,PUBLISHED,2013,New Zealand,BTSX,81.3,81.29157,,,
74,PUBLISHED,2013,Philippines,BTSX,68.1,68.06879,,,
75,PUBLISHED,2013,"Korea, Democratic People's Republic of",BTSX,70.1,70.06003,,,
