"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","SEX","Display Value","Numeric","Low","High","Comments"
"WHOSIS_000001","PUBLISHED","2013","AMR","ARG","BTSX","76.0","76.01910","","",""
"WHOSIS_000001","PUBLISHED","2013","EUR","AZE","BTSX","72.2","72.23805","","",""
"WHOSIS_000001","PUBLISHED","2013","AFR","BEN","BTSX","59.5","59.45502","","",""
"WHOSIS_000001","PUBLISHED","2013","AFR","BFA","BTSX","59.0","58.95446","","",""
"WHOSIS_000001","PUBLISHED","2013","AFR","CMR","BTSX","56.4","56.43423","","",""
"WHOSIS_000001","PUBLISHED","2013","AMR","COL","BTSX","74.4","74.39403","","",""
"WHOSIS_000001","PUBLISHED","2013","EUR","CZE","BTSX","78.2","78.22158","","",""
"WHOSIS_000001","PUBLISHED","2013","AFR","GIN","BTSX","58.8","58.84431","","",""
"WHOSIS_000001","PUBLISHED","2013","EMR","JOR","BTSX","73.9","73.85904","","",""
"WHOSIS_000001","PUBLISHED","2013","WPR","JPN","BTSX","83.5","83.52387","","",""
"WHOSIS_000001","PUBLISHED","2013","WPR","KHM","BTSX","67.8","67.79114","","",""
"WHOSIS_000001","PUBLISHED","2013","EMR","LBN","BTSX","74.9","74.86730","","",""
"WHOSIS_000001","PUBLISHED","2013","AFR","MWI","BTSX","56.7","56.68938","","",""
"WHOSIS_000001","PUBLISHED","2013","EMR","PAK","BTSX","66.0","65.98781","","",""
"WHOSIS_000001","PUBLISHED","2013","EUR","ROU","BTSX","74.6","74.60338","","",""
"WHOSIS_000001","PUBLISHED","2013","WPR","SGP","BTSX","82.7","82.67023","","",""
"WHOSIS_000001","PUBLISHED","2013","WPR","SLB","BTSX","68.8","68.82217","","",""
"WHOSIS_000001","PUBLISHED","2013","EUR","TKM","BTSX","65.4","65.35018","","",""
"WHOSIS_000001","PUBLISHED","2013","SEAR","TLS","BTSX","67.7","67.67768","","",""
"WHOSIS_000001","PUBLISHED","2013","AFR","TZA","BTSX","59.7","59.69819","","",""
"WHOSIS_000001","PUBLISHED","2013","EMR","YEM","BTSX","65.4","65.35676","","",""
"WHOSIS_000001","PUBLISHED","2013","EUR","ALB","BTSX","77.2","77.20967","","",""
"WHOSIS_000001","PUBLISHED","2013","EUR","ARM","BTSX","74.4","74.36308","","",""
"WHOSIS_000001","PUBLISHED","2013","AFR","BDI","BTSX","58.6","58.60011","","",""
"WHOSIS_000001","PUBLISHED","2013","EUR","BGR","BTSX","74.1","74.12443","","",""
"WHOSIS_000001","PUBLISHED","2013","EMR","BHR","BTSX","76.7","76.65276","","",""
"WHOSIS_000001","PUBLISHED","2013","AMR","BLZ","BTSX","69.8","69.79741","","",""
"WHOSIS_000001","PUBLISHED","2013","AMR","BOL","BTSX","70.1","70.07710","","",""
"WHOSIS_000001","PUBLISHED","2013","SEAR","BTN","BTSX","69.1","69.06744","","",""
"WHOSIS_000001","PUBLISHED","2013","AFR","BWA","BTSX","64.2","64.21846","","",""
"WHOSIS_000001","PUBLISHED","2013","AFR","COG","BTSX","63.9","63.94545","","",""
"WHOSIS_000001","PUBLISHED","2013","AMR","CRI","BTSX","79.4","79.44212","","",""
"WHOSIS_000001","PUBLISHED","2013","AMR","ECU","BTSX","76.0","76.01488","","",""
"WHOSIS_000001","PUBLISHED","2013","EMR","EGY","BTSX","70.9","70.85864","","",""
"WHOSIS_000001","PUBLISHED","2013","EUR","FIN","BTSX","80.7","80.72970","","",""
"WHOSIS_000001","PUBLISHED","2013","EUR","GBR","BTSX","80.7","80.68333","","",""
"WHOSIS_000001","PUBLISHED","2013","AFR","GNQ","BTSX","57.4","57.38615","","",""
"WHOSIS_000001","PUBLISHED","2013","AMR","HND","BTSX","74.3","74.27006","","",""
"WHOSIS_000001","PUBLISHED","2013","AMR","HTI","BTSX","62.7","62.69797","","",""
"WHOSIS_000001","PUBLISHED","2013","SEAR","IND","BTSX","67.6","67.61797","","",""
"WHOSIS_000001","PUBLISHED","2013","EUR","KAZ","BTSX","69.5","69.52629","","",""
"WHOSIS_000001","PUBLISHED","2013","EUR","LUX","BTSX","81.4","81.44892","","",""
"WHOSIS_000001","PUBLISHED","2013","EUR","LVA","BTSX","74.1","74.06218","","",""
"WHOSIS_000001","PUBLISHED","2013","AFR","MDG","BTSX","64.7","64.71928","","",""
"WHOSIS_000001","PUBLISHED","2013","SEAR","MDV","BTSX","77.9","77.88964","","",""
"WHOSIS_000001","PUBLISHED","2013","AMR","MEX","BTSX","76.6","76.63389","","",""
"WHOSIS_000001","PUBLISHED","2013","EUR","MLT","BTSX","81.1","81.09828","","",""
"WHOSIS_000001","PUBLISHED","2013","EUR","MNE","BTSX","75.8","75.80652","","",""
"WHOSIS_000001","PUBLISHED","2013","AFR","MRT","BTSX","62.7","62.74218","","",""
"WHOSIS_000001","PUBLISHED","2013","AFR","NGA","BTSX","53.2","53.16155","","",""
"WHOSIS_000001","PUBLISHED","2013","EUR","RUS","BTSX","70.0","69.99681","","",""
"WHOSIS_000001","PUBLISHED","2013","EMR","SOM","BTSX","54.2","54.20847","","",""
"WHOSIS_000001","PUBLISHED","2013","AFR","STP","BTSX","67.1","67.14532","","",""
"WHOSIS_000001","PUBLISHED","2013","EUR","SVK","BTSX","76.1","76.09109","","",""
"WHOSIS_000001","PUBLISHED","2013","SEAR","THA","BTSX","74.5","74.46014","","",""
"WHOSIS_000001","PUBLISHED","2013","EUR","TJK","BTSX","69.3","69.27447","","",""
"WHOSIS_000001","PUBLISHED","2013","EUR","UKR","BTSX","71.0","70.98906","","",""
"WHOSIS_000001","PUBLISHED","2013","WPR","VNM","BTSX","75.7","75.70722","","",""
"WHOSIS_000001","PUBLISHED","2013","WPR","WSM","BTSX","73.6","73.58279","","",""
"WHOSIS_000001","PUBLISHED","2013","EUR","BEL","BTSX","80.7","80.66297","","",""
"WHOSIS_000001","PUBLISHED","2013","WPR","BRN","BTSX","77.1","77.07726","","",""
"WHOSIS_000001","PUBLISHED","2013","AFR","COD","BTSX","58.8","58.77653","","",""
"WHOSIS_000001","PUBLISHED","2013","EMR","DJI","BTSX","62.7","62.67741","","",""
"WHOSIS_000001","PUBLISHED","2013","EUR","DNK","BTSX","80.1","80.14989","","",""
"WHOSIS_000001","PUBLISHED","2013","EUR","ESP","BTSX","82.4","82.38602","","",""
"WHOSIS_000001","PUBLISHED","2013","EUR","GEO","BTSX","74.5","74.54204","","",""
"WHOSIS_000001","PUBLISHED","2013","EUR","HRV","BTSX","77.7","77.65092","","",""
"WHOSIS_000001","PUBLISHED","2013","EMR","IRN","BTSX","75.3","75.26443","","",""
"WHOSIS_000001","PUBLISHED","2013","EUR","ISR","BTSX","82.1","82.10788","","",""
"WHOSIS_000001","PUBLISHED","2013","WPR","KOR","BTSX","81.7","81.68476","","",""
"WHOSIS_000001","PUBLISHED","2013","EMR","KWT","BTSX","74.5","74.45224","","",""
"WHOSIS_000001","PUBLISHED","2013","EUR","LTU","BTSX","73.0","73.01930","","",""
"WHOSIS_000001","PUBLISHED","2013","SEAR","NPL","BTSX","69.3","69.27148","","",""
"WHOSIS_000001","PUBLISHED","2013","WPR","NZL","BTSX","81.3","81.29157","","",""
"WHOSIS_000001","PUBLISHED","2013","WPR","PHL","BTSX","68.1","68.06879","","",""
"WHOSIS_000001","PUBLISHED","2013","SEAR","PRK","BTSX","70.1","70.06003","","",""
"WHOSIS_000001","PUBLISHED","2013","EMR","SAU","BTSX","74.3","74.25284","","",""
"WHOSIS_000001","PUBLISHED","2013","AMR","SLV","BTSX","73.0","72.96488","","",""
"WHOSIS_000001","PUBLISHED","2013","AMR","SUR","BTSX","71.2","71.24409","","",""
"WHOSIS_000001","PUBLISHED","2013","AFR","SYC","BTSX","72.9","72.89406","","",""
"WHOSIS_000001","PUBLISHED","2013","AMR","URY","BTSX","76.8","76.76608","","",""
"WHOSIS_000001","PUBLISHED","2013","AMR","VEN","BTSX","73.8","73.83881","","",""
"WHOSIS_000001","PUBLISHED","2013","AFR","ZWE","BTSX","58.0","57.99748","","",""
"WHOSIS_000001","PUBLISHED","2013","EMR","ARE","BTSX","76.7","76.70663","","",""
"WHOSIS_000001","PUBLISHED","2013","WPR","AUS","BTSX","82.5","82.46722","","",""
"WHOSIS_000001","PUBLISHED","2013","AMR","BHS","BTSX","74.8","74.84582","","",""
"WHOSIS_000001","PUBLISHED","2013","AMR","BRA","BTSX","74.7","74.73164","","",""
"WHOSIS_000001","PUBLISHED","2013","WPR","CHN","BTSX","75.6","75.58276","","",""
"WHOSIS_000001","PUBLISHED","2013","AFR","COM","BTSX","62.9","62.89920","","",""
"WHOSIS_000001","PUBLISHED","2013","AFR","CPV","BTSX","72.8","72.79063","","",""
"WHOSIS_000001","PUBLISHED","2013","EUR","DEU","BTSX","80.6","80.55242","","",""
"WHOSIS_000001","PUBLISHED","2013","AFR","ERI","BTSX","64.0","64.00847","","",""
"WHOSIS_000001","PUBLISHED","2013","AFR","ETH","BTSX","63.7","63.74931","","",""
"WHOSIS_000001","PUBLISHED","2013","AFR","GHA","BTSX","61.9","61.91974","","",""
"WHOSIS_000001","PUBLISHED","2013","AMR","GUY","BTSX","65.9","65.93163","","",""
"WHOSIS_000001","PUBLISHED","2013","EUR","HUN","BTSX","75.5","75.47681","","",""
"WHOSIS_000001","PUBLISHED","2013","EUR","ISL","BTSX","82.4","82.41537","","",""
"WHOSIS_000001","PUBLISHED","2013","EUR","KGZ","BTSX","70.7","70.69394","","",""
"WHOSIS_000001","PUBLISHED","2013","EMR","MAR","BTSX","73.9","73.89715","","",""
"WHOSIS_000001","PUBLISHED","2013","EUR","MKD","BTSX","75.3","75.32211","","",""
"WHOSIS_000001","PUBLISHED","2013","EUR","NOR","BTSX","81.5","81.48119","","",""
"WHOSIS_000001","PUBLISHED","2013","EMR","OMN","BTSX","76.2","76.16706","","",""
"WHOSIS_000001","PUBLISHED","2013","EMR","SDN","BTSX","63.5","63.50551","","",""
"WHOSIS_000001","PUBLISHED","2013","EUR","SWE","BTSX","81.9","81.94165","","",""
"WHOSIS_000001","PUBLISHED","2013","AFR","TCD","BTSX","52.2","52.18766","","",""
"WHOSIS_000001","PUBLISHED","2013","WPR","TON","BTSX","73.2","73.16799","","",""
"WHOSIS_000001","PUBLISHED","2013","EUR","TUR","BTSX","75.2","75.18435","","",""
"WHOSIS_000001","PUBLISHED","2013","AFR","UGA","BTSX","60.7","60.68042","","",""
"WHOSIS_000001","PUBLISHED","2013","AMR","VCT","BTSX","72.7","72.68603","","",""
"WHOSIS_000001","PUBLISHED","2013","WPR","VUT","BTSX","71.6","71.59818","","",""
"WHOSIS_000001","PUBLISHED","2013","AFR","AGO","BTSX","51.1","51.07346","","",""
"WHOSIS_000001","PUBLISHED","2013","EUR","AUT","BTSX","81.1","81.06575","","",""
"WHOSIS_000001","PUBLISHED","2013","EUR","BIH","BTSX","77.0","77.02735","","",""
"WHOSIS_000001","PUBLISHED","2013","AMR","BRB","BTSX","75.2","75.21317","","",""
"WHOSIS_000001","PUBLISHED","2013","AFR","CAF","BTSX","49.9","49.93576","","",""
"WHOSIS_000001","PUBLISHED","2013","AMR","CAN","BTSX","81.8","81.82275","","",""
"WHOSIS_000001","PUBLISHED","2013","AFR","CIV","BTSX","52.3","52.34333","","",""
"WHOSIS_000001","PUBLISHED","2013","EUR","CYP","BTSX","80.1","80.14259","","",""
"WHOSIS_000001","PUBLISHED","2013","AMR","DOM","BTSX","73.4","73.39816","","",""
"WHOSIS_000001","PUBLISHED","2013","AFR","DZA","BTSX","75.3","75.26168","","",""
"WHOSIS_000001","PUBLISHED","2013","EUR","FRA","BTSX","82.0","81.99919","","",""
"WHOSIS_000001","PUBLISHED","2013","WPR","FSM","BTSX","69.2","69.19045","","",""
"WHOSIS_000001","PUBLISHED","2013","AFR","GMB","BTSX","60.6","60.55776","","",""
"WHOSIS_000001","PUBLISHED","2013","AFR","GNB","BTSX","58.1","58.12134","","",""
"WHOSIS_000001","PUBLISHED","2013","AMR","GTM","BTSX","71.4","71.40676","","",""
"WHOSIS_000001","PUBLISHED","2013","SEAR","IDN","BTSX","68.7","68.70400","","",""
"WHOSIS_000001","PUBLISHED","2013","EMR","IRQ","BTSX","69.5","69.45579","","",""
"WHOSIS_000001","PUBLISHED","2013","AMR","JAM","BTSX","75.6","75.58058","","",""
"WHOSIS_000001","PUBLISHED","2013","WPR","KIR","BTSX","65.8","65.84379","","",""
"WHOSIS_000001","PUBLISHED","2013","WPR","LAO","BTSX","64.9","64.86088","","",""
"WHOSIS_000001","PUBLISHED","2013","AFR","LBR","BTSX","61.1","61.10963","","",""
"WHOSIS_000001","PUBLISHED","2013","SEAR","LKA","BTSX","74.6","74.55085","","",""
"WHOSIS_000001","PUBLISHED","2013","AFR","LSO","BTSX","52.1","52.11234","","",""
"WHOSIS_000001","PUBLISHED","2013","EUR","MDA","BTSX","71.7","71.71924","","",""
"WHOSIS_000001","PUBLISHED","2013","AFR","MLI","BTSX","57.3","57.26088","","",""
"WHOSIS_000001","PUBLISHED","2013","WPR","MNG","BTSX","68.1","68.10599","","",""
"WHOSIS_000001","PUBLISHED","2013","AFR","MOZ","BTSX","55.3","55.27068","","",""
"WHOSIS_000001","PUBLISHED","2013","WPR","MYS","BTSX","74.6","74.60231","","",""
"WHOSIS_000001","PUBLISHED","2013","AFR","NAM","BTSX","66.1","66.08712","","",""
"WHOSIS_000001","PUBLISHED","2013","AMR","NIC","BTSX","73.9","73.87334","","",""
"WHOSIS_000001","PUBLISHED","2013","EUR","NLD","BTSX","81.4","81.38090","","",""
"WHOSIS_000001","PUBLISHED","2013","WPR","PNG","BTSX","62.4","62.41537","","",""
"WHOSIS_000001","PUBLISHED","2013","EUR","POL","BTSX","77.1","77.05921","","",""
"WHOSIS_000001","PUBLISHED","2013","EMR","QAT","BTSX","77.9","77.94932","","",""
"WHOSIS_000001","PUBLISHED","2013","EUR","SRB","BTSX","75.3","75.28080","","",""
"WHOSIS_000001","PUBLISHED","2013","AFR","SSD","BTSX","56.4","56.37253","","",""
"WHOSIS_000001","PUBLISHED","2013","EUR","SVN","BTSX","80.5","80.45470","","",""
"WHOSIS_000001","PUBLISHED","2013","AFR","TGO","BTSX","59.4","59.41954","","",""
"WHOSIS_000001","PUBLISHED","2013","AMR","USA","BTSX","78.9","78.85654","","",""
"WHOSIS_000001","PUBLISHED","2013","EUR","UZB","BTSX","69.1","69.06442","","",""
"WHOSIS_000001","PUBLISHED","2013","AFR","ZAF","BTSX","60.9","60.89896","","",""
"WHOSIS_000001","PUBLISHED","2013","AFR","ZMB","BTSX","60.3","60.28272","","",""
"WHOSIS_000001","PUBLISHED","2013","EMR","AFG","BTSX","59.9","59.92601","","",""
"WHOSIS_000001","PUBLISHED","2013","AMR","ATG","BTSX","76.1","76.07896","","",""
"WHOSIS_000001","PUBLISHED","2013","SEAR","BGD","BTSX","71.0","71.01307","","",""
"WHOSIS_000001","PUBLISHED","2013","EUR","BLR","BTSX","71.7","71.72385","","",""
"WHOSIS_000001","PUBLISHED","2013","EUR","CHE","BTSX","83.0","82.96751","","",""
"WHOSIS_000001","PUBLISHED","2013","AMR","CHL","BTSX","80.1","80.14998","","",""
"WHOSIS_000001","PUBLISHED","2013","AMR","CUB","BTSX","78.7","78.69524","","",""
"WHOSIS_000001","PUBLISHED","2013","EUR","EST","BTSX","76.9","76.88000","","",""
"WHOSIS_000001","PUBLISHED","2013","WPR","FJI","BTSX","69.6","69.56206","","",""
"WHOSIS_000001","PUBLISHED","2013","AFR","GAB","BTSX","64.6","64.58082","","",""
"WHOSIS_000001","PUBLISHED","2013","EUR","GRC","BTSX","80.6","80.63278","","",""
