,year,country,sanitation,Numeric,national_income,pm_pollution,primary_income,density
0,2013,Afghanistan,31.1,59.92601,637.0379443,48.9,142828701.6,46.99705909
1,2013,Albania,92.7,77.20967,3739.611354,15,150078384.8,105.7172263
2,2013,Algeria,87.2,75.26168,4077.595482,27.1,8071902022,16.03287303
3,2013,Angola,50.6,51.07346,3675.787412,27.2,10718338712,18.80821529
4,2013,Argentina,95.8,76.0191,12463.29847,13.2,14704134796,15.54370572
5,2013,Armenia,89.5,74.36308,3380.962145,20.7,576558123.7,105.0998244
6,2013,Australia,100,82.46722,52290.2299,5.9,85288712581,3.009170821
7,2013,Austria,100,81.06575,41636.12156,15.6,26491392240,102.7416971
8,2013,Azerbaijan,86.3,72.23805,5122.941115,22.5,5156957000,113.9234808
9,2013,Bahrain,99.2,76.65276,14361.67331,65.5,7612765957,1752.502597
10,2013,Bangladesh,58.7,71.01307,920.607277,86,2640037708,1207.324222
11,2013,Belarus,94.4,71.72385,6487.019834,17.1,3543400000,46.65122468
12,2013,Belgium,99.5,80.66297,38097.94414,15.6,57745080161,369.3136394
13,2013,Belize,90.6,69.79741,3408.7368,20.9,124040527.3,15.08956598
14,2013,Benin,19,59.45502,814.4532375,34.1,223276377.7,91.5416105
15,2013,Bhutan,49.7,69.06744,1807.021978,52.8,183303551.2,19.79791169
16,2013,Botswana,63.3,64.21846,5168.599723,16.3,583612621.9,3.840470771
17,2013,Brazil,82.1,74.73164,9812.705341,11.2,44668348537,24.43837708
18,2013,Bulgaria,86,74.12443,6308.808871,26.1,3113060000,66.92257738
19,2013,Burkina Faso,19,58.95446,564.4740006,41.3,310288920.7,62.44354532
20,2013,Burundi,47.8,58.60011,180.7111281,39,12175430.27,407.5529206
21,2013,Cabo Verde,70.1,72.79063,2755.465366,38.3,78626510.48,125.8704715
22,2013,Cambodia,39,67.79114,844.277706,23,829235916.2,85.42127804
23,2013,Cameroon,45.4,56.43423,1121.76996,70.9,782762470,46.98687567
24,2013,Canada,99.8,81.82275,41427.19523,7.2,97589130188,3.865998828
25,2013,Chile,99,80.14998,11932.87163,20.7,18825799418,23.63830071
26,2013,China,74.2,75.58276,5814.665728,55.7,2.62E+11,144.5834568
27,2013,Colombia,80.6,74.39403,6192.73744,17.9,17810952960,42.6699982
28,2013,Costa Rica,94.5,79.44212,9479.388378,18.1,2073760968,92.17455934
29,2013,Croatia,97.1,77.65092,10785.40124,18.1,2312149443,76.04876698
30,2013,Cyprus,100,80.14259,23331.18747,15.9,6676273610,123.5554113
31,2013,Czech Republic,99.1,78.22158,14186.79557,19.4,19602764668,136.1423281
32,2013,Denmark,99.6,80.14989,50396.84353,10.1,20434424729,132.334009
33,2013,Dominican Republic,83.3,73.39816,5328.892788,20.7,3659952406,212.7774834
34,2013,Ecuador,83.8,76.01488,4705.280279,15.6,1492250562,63.05891448
35,2013,El Salvador,73.4,72.96488,3425.320735,35.1,1062279667,293.9017375
36,2013,Estonia,97.2,76.88,15686.66703,8,2121714005,31.09216796
37,2013,Fiji,91.1,69.56206,4165.118216,5.5,155552216.6,48.19304871
38,2013,Finland,97.6,80.7297,40035.64105,6.7,18416811602,17.89783145
39,2013,France,98.7,81.99919,35568.95523,12.1,1.47E+11,120.4844372
40,2013,Georgia,87.5,74.54204,3710.013646,18.5,1238176705,66.06249344
41,2013,Germany,99.2,80.55242,38395.08634,13.4,1.68E+11,235.6479974
42,2013,Ghana,14.7,61.91974,1428.941802,26,1635923882,114.9882746
43,2013,Greece,99,80.63278,17892.50668,11.8,9166530896,85.06757952
44,2013,Guatemala,63.6,71.40676,3009.266574,32,1526048872,146.4239735
45,2013,Guinea,19.4,58.84431,335.294167,23.2,408800000,48.62740518
46,2013,Guinea-Bissau,20.5,58.12134,417.9937601,27.5,18257508.13,62.4871266
47,2013,Guyana,83.6,65.93163,3365.91004,16,25180504,3.866055372
48,2013,Haiti,27.1,62.69797,766.2702206,21.7,13331983.85,378.492344
49,2013,Honduras,81.3,74.27006,1988.30998,35.5,1401210247,70.14978103
50,2013,Hungary,98,75.47681,10726.86984,20.5,20440595217,109.2795979
51,2013,Iceland,98.8,82.41537,38683.42455,7.4,1264375323,3.229566085
52,2013,India,38.5,67.61797,1246.321769,67.4,33013233326,430.3454788
53,2013,Indonesia,59.7,68.704,3206.371891,15.1,29652127741,138.7019414
54,2013,Ireland,90.4,80.96538,35997.53205,9.4,1.08E+11,66.74835245
55,2013,Israel,100,82.10788,30710.30965,18.6,13985500000,372.435305
56,2013,Italy,99.5,82.32586,28745.99319,16.3,80525062360,204.7798599
57,2013,Jamaica,81.8,75.58058,4643.016352,16.7,663366569.7,250.6619575
58,2013,Japan,100,83.52387,31850.81031,12.2,59918187339,349.294001
59,2013,Jordan,98.6,73.85904,4184.356722,34.7,1132309880,81.26641135
60,2013,Kazakhstan,97.5,69.52629,8583.944275,15.9,27464910826,6.310062229
61,2013,Kenya,29.9,62.57568,1135.204183,16,512757737.1,76.77000562
62,2013,Kiribati,39.7,65.84379,2426.887248,3.2,2416829.095,134.0049383
63,2013,Kuwait,100,74.45224,36857.88787,85.1,1394162856,201.6660494
64,2013,Latvia,86.9,74.06218,11251.62999,17.8,1739401892,32.36287184
65,2013,Lebanon,80.7,74.8673,7214.50636,28.1,2245606314,516.8123167
66,2013,Lesotho,29.8,52.11234,1254.396262,17.4,164111270.1,68.6120224
67,2013,Liberia,16.4,61.10963,252.4575365,9.4,400305300,44.57736711
68,2013,Libya,96.6,72.85607,7139.34219,55.8,2808000000,3.561150642
69,2013,Lithuania,91.6,73.0193,13041.84505,18.1,2388484877,47.19088951
70,2013,Luxembourg,97.6,81.44892,59782.27801,16,2.99E+11,209.7915058
71,2013,Madagascar,11.7,64.71928,395.4805691,17.4,353632785.2,39.40281368
72,2013,Malawi,40.1,56.68938,185.5759589,23.1,268497916.9,171.7238651
73,2013,Malaysia,96,74.60231,8029.50855,15.6,25870227636,89.68306803
74,2013,Maldives,98,77.88964,5484.839907,27,367937022.5,1310
75,2013,Mali,23.8,57.26088,505.0412361,44.9,514757814.6,13.59796179
76,2013,Mauritania,39.5,62.74218,740.4789504,67.7,316257696.1,3.757333851
77,2013,Mauritius,93.2,74.10355,8616.919271,13.9,5576372426,620.0261084
78,2013,Mexico,84.4,76.63389,8055.955547,20.2,51489986873,63.65395663
79,2013,Mongolia,58.5,68.10599,3386.731677,21.6,750943953.5,1.840401401
80,2013,Morocco,76.5,73.89715,2635.159951,19.4,2242554560,74.95560385
81,2013,Mozambique,20.3,55.27068,527.4742974,17.4,192905725.5,33.65698517
82,2013,Myanmar,79.5,66.15154,1010.207956,49.8,2220293052,81.12915569
83,2013,Namibia,33.6,66.08712,4835.403244,19.1,416183357.2,2.850261755
84,2013,Nepal,42.6,69.27148,630.957418,66.7,90587988.27,194.1749634
85,2013,Netherlands,97.8,81.3809,43403.63118,14.6,2.94E+11,499.0921295
86,2013,Nicaragua,67.8,73.87334,1591.644024,24.5,350400000,49.40706332
87,2013,Niger,10.5,60.89352,334.425693,69.9,268644219,14.4934578
88,2013,Nigeria,29.6,53.16155,2482.486952,45,26401473803,189.7477047
89,2013,Norway,98.1,81.48119,78927.15737,8.5,36372228843,13.90744021
90,2013,Oman,96.7,76.16706,8749.266685,50.1,5079323797,12.6233021
91,2013,Pakistan,60,65.98781,1229.357321,62.4,4464000000,235.0465001
92,2013,Panama,73.9,77.50749,10572.20972,11.8,4878400000,51.19293785
93,2013,Papua New Guinea,18.9,62.41537,1490.928057,10.8,683846362.9,16.13934549
94,2013,Paraguay,86.8,73.76443,3750.877257,15.5,1725527083,16.27402215
95,2013,Peru,74.6,75.28803,5446.276291,28.6,11853222295,23.87926641
96,2013,Philippines,72.5,68.06879,3034.981641,23.3,7400969793,327.2350538
97,2013,Poland,96.5,77.05921,11677.08954,24.2,31161000000,124.2291107
98,2013,Portugal,99.6,80.61548,17515.63325,9.2,14594609187,114.1626092
99,2013,Qatar,98,77.94932,58226.81436,114.2,16754945055,180.9894918
100,2013,Romania,78.6,74.60338,9053.077503,18.7,7477221402,86.87429031
101,2013,Russian Federation,72.2,69.99681,11721.76263,15.2,1.22E+11,8.762780128
102,2013,Rwanda,60,65.23911,572.5330043,44.5,131994088.6,449.0512769
103,2013,Samoa,91.5,73.58279,3554.875122,3.4,49793105.3,67.27561837
104,2013,Sao Tome and Principe,34.5,67.14532,1487.250165,11.9,3372109.249,189.9854167
105,2013,Saudi Arabia,100,74.25284,17586.77085,121.9,11609066667,14.04902614
106,2013,Seychelles,98.4,72.89406,13017.78092,14.2,117566631.7,197.5824176
107,2013,Sierra Leone,13,50.39339,621.3100235,19.3,447306133.9,85.60347742
108,2013,Singapore,100,82.67023,46953.54404,18,76004795013,7636.721358
109,2013,Slovenia,99.1,80.4547,18050.5895,16.9,1736272306,102.2816783
110,2013,Solomon Islands,29.2,68.82217,1154.164203,4.6,27549945.94,20.03161844
111,2013,South Africa,65.3,60.89896,5544.992181,28.5,16340537699,43.84853238
112,2013,Spain,99.9,82.38602,24002.63333,9.6,70110361173,93.2009456
113,2013,Sri Lanka,94.8,74.55085,2957.717406,26.6,1883193990,328.1613778
114,2013,Sudan,23.6,63.50551,1548.658806,46.1,2809290785,21.03068392
115,2013,Suriname,79.2,71.24409,6888.250475,16.4,158370510.2,3.419551282
116,2013,Swaziland,57.5,57.5793,2819.873955,17.7,555211226.8,72.71168605
117,2013,Sweden,99.3,81.94165,51843.5856,5.5,48877312783,23.56846615
118,2013,Switzerland,99.9,82.96751,68574.83535,11.8,1.07E+11,204.7106489
119,2013,Tajikistan,94.7,69.27447,981.8828026,39.5,110364800,57.95865962
120,2013,Thailand,93.1,74.46014,4659.825022,24.5,32170361357,132.0272896
121,2013,Togo,11.6,59.41954,452.3762,30.7,284946541.4,127.3895753
122,2013,Tonga,91.1,73.16799,3861.051899,3.9,14563131.13,146.0263889
123,2013,Tunisia,90.9,74.94267,3232.116994,34.6,2356741674,70.07273429
124,2013,Turkey,94.1,75.18435,10018.91003,32.4,13866000000,99.03932929
125,2013,Uganda,18.8,60.68042,541.8736132,59.1,620009834.6,182.3927139
126,2013,Ukraine,95.8,70.98906,3233.993032,16.3,10800000000,78.52240558
