country,life expectancy,national income per capita,population density,air pollution,sanitation facility,education expenditure,clean water source,health expenditure,urban population percentage,carbon dioxide emission
Argentina,76.0191,12463.29847,15.54370572,13.2,95.8,4.52,98.8,731.4512884,91.452,4.46229798
Azerbaijan,72.23805,5122.941115,113.9234808,22.5,86.3,2.56,85.3,432.418509,54.1,3.785068836
Benin,59.45502,814.4532375,91.5416105,34.1,19,4.69,77,36.95635544,43.086,0.561654398
Burkina Faso,58.95446,564.4740006,62.44354532,41.3,19,4.31,81.9,42.2125761,28.186,0.17900836
Cameroon,56.43423,1121.76996,46.98687567,70.9,45.4,2.68,75.1,57.1497078,53.25,0.306750488
Colombia,74.39403,6192.73744,42.6699982,17.9,80.6,3.717635399,91.3,549.3706075,75.883,1.893127874
Czech Republic,78.22158,14186.79557,136.1423281,19.4,99.1,4.09,100,1412.792686,73.06,9.383496546
Guinea,58.84431,335.294167,48.62740518,23.2,19.4,3.07,75.7,28.64896871,36.209,0.192422941
Jordan,73.85904,4184.356722,81.26641135,34.7,98.6,4.246201812,96.9,336.7918846,83.211,3.438369043
Japan,83.52387,31850.81031,349.294001,12.2,100,3.244749665,100,3960.203073,92.491,9.764393145
Cambodia,67.79114,844.277706,85.42127804,23,39,1.63,71.1,60.44287728,20.319,0.369653238
Lebanon,74.8673,7214.50636,516.8123167,28.1,80.7,2.1,99,597.1871368,87.548,4.271123267
Malawi,56.68938,185.5759589,171.7238651,23.1,40.1,6.236666667,86.5,26.29449749,15.944,0.078594138
Pakistan,65.98781,1229.357321,235.0465001,62.4,60,1.788118827,91.1,33.63909619,37.86,0.846439474
Romania,74.60338,9053.077503,86.87429031,18.7,78.6,2.81,100,535.4758547,54.235,3.539707601
Singapore,82.67023,46953.54404,7636.721358,18,100,2.76,100,2531.501122,100,9.36384739
Solomon Islands,68.82217,1154.164203,20.03161844,4.6,29.2,9.94,80.6,102.4691605,21.421,0.353171567
Albania,77.20967,3739.611354,105.7172263,15,92.7,2.842804,95.2,253.3418956,55.383,1.662184826
Armenia,74.36308,3380.962145,105.0998244,20.7,89.5,2.55,99.9,158.9801968,62.975,1.837058919
Burundi,58.60011,180.7111281,407.5529206,39,47.8,5.175521641,75.5,20.85880811,11.472,0.028029921
Bulgaria,74.12443,6308.808871,66.92257738,26.1,86,3.57,99.5,606.0252134,73.3,5.445648555
Bahrain,76.65276,14361.67331,1752.502597,65.5,99.2,2.91,100,1142.495254,88.667,23.68257416
Belize,69.79741,3408.7368,15.08956598,20.9,90.6,6.39,99.5,273.2673296,44.298,1.5022008
