County/City,Democratic,Republican,Total Votes Cast,Year,Republican Share
Accomack County,2087,307,2426,1924,12.65457543
Albemarle County,1383,366,1801,1924,20.32204331
fsds,1136,556,1958,1924,28.39632278
Alleghany County,589,856,1628,1924,52.57985258
sdfsd,372,153,540,1924,28.33333333
sdfds,1092,129,1326,1924,9.728506787
fsfd,952,101,1071,1924,9.430438842
sdfsd,1209,1307,2921,1924,44.74495036
sdfsd,1920,1265,3263,1924,38.7680049
Bath County,404,407,835,1924,48.74251497
Bedford County,1811,432,2274,1924,18.99736148
Bland County,604,609,1217,1924,50.04108463
Botetourt County,1427,1264,2752,1924,45.93023256
Bristol City,1036,440,1505,1924,29.2358804
Brunswick County,887,65,982,1924,6.619144603
Buchanan County,870,1080,1964,1924,54.9898167
Buckingham County,623,213,851,1924,25.0293772
Buena Vista City,235,149,392,1924,38.01020408
Campbell County,1468,372,1982,1924,18.76892028
Caroline County,840,223,1083,1924,20.59095106
Carroll County,1257,1743,3014,1924,57.83012608
Charles City County,141,82,231,1924,35.4978355
Charlotte County,1006,154,1244,1924,12.37942122
Charlottesville City,831,218,1157,1924,18.84183232
Chesterfield County,967,282,1324,1924,21.29909366
Clarke County,687,76,778,1924,9.768637532
Clifton Forge City,447,225,961,1924,23.41311134
Craig County,512,300,831,1924,36.10108303
Culpeper County,876,190,1108,1924,17.14801444
Cumberland County,398,61,487,1924,12.52566735
Danville City,1577,473,2237,1924,21.14438981
Dickenson County,1618,1294,3031,1924,42.6921808
Dinwiddie County,685,122,830,1924,14.69879518
Elizabeth City County,698,312,1098,1924,28.41530055
Essex County,315,60,384,1924,15.625
Fairfax County,1586,765,2546,1924,30.04713276
Fauquier County,1277,345,1711,1924,20.16364699
Floyd County,515,984,1512,1924,65.07936508
Fluvanna County,452,136,615,1924,22.11382114
Franklin County,1902,1077,2992,1924,35.9959893
Frederick County,1314,484,1827,1924,26.49151615
Fredericksburg City,558,223,808,1924,27.5990099
Giles County,1319,852,2229,1924,38.22341857
Gloucester County,616,109,730,1924,14.93150685
Goochland County,394,164,598,1924,27.42474916
Grayson County,1611,1442,3073,1924,46.92482916
Greene County,285,240,533,1924,45.02814259
Greensville County,417,132,572,1924,23.07692308
Halifax County,2245,374,2664,1924,14.03903904
Hampton City,471,129,615,1924,20.97560976
Hanover County,732,135,905,1924,14.91712707
Harrisonburg City,624,631,1270,1924,49.68503937
Henrico County,1052,416,1600,1924,26
Henry County,1097,565,1697,1924,33.29404832
Highland County,508,454,972,1924,46.70781893
Hopewell City,277,206,491,1924,41.95519348
Isle of Wight County,631,190,827,1924,22.97460701
James City County,173,54,240,1924,22.5
King and Queen County,314,134,452,1924,29.6460177
King George County,280,206,502,1924,41.03585657
King William County,372,148,533,1924,27.7673546
Lancaster County,564,90,668,1924,13.47305389
Lee County,2376,2456,4944,1924,49.6763754
Loudoun County,1794,152,2028,1924,7.495069034
Louisa County,707,282,1046,1924,26.95984704
Lunenburg County,686,130,1035,1924,12.56038647
Lynchburg City,2086,606,2820,1924,21.4893617
Madison County,589,347,971,1924,35.73635427
Mathews County,678,195,883,1924,22.08380521
Mecklenburg County,1649,286,1955,1924,14.62915601
Middlesex County,438,78,523,1924,14.91395793
Montgomery County,1142,964,2169,1924,44.44444444
Nansemond County,539,99,651,1924,15.20737327
Nelson County,1042,350,1428,1924,24.50980392
New Kent County,178,86,279,1924,30.82437276
Newport News City,1574,917,2780,1924,32.98561151
Norfolk County,1000,289,1366,1924,21.15666179
Norfolk City,5061,2447,7919,1924,30.90036621
Northampton County,941,180,1159,1924,15.53062985
Northumberland County,589,130,729,1924,17.83264746
Nottoway County,840,181,1161,1924,15.59000861
Orange County,834,181,1068,1924,16.94756554
Page County,1015,885,2055,1924,43.06569343
Patrick County,1138,783,1932,1924,40.52795031
Petersburg City,1331,228,1591,1924,14.33060968
Pittsylvania County,2563,880,3556,1924,24.74690664
Portsmouth City,2206,604,3405,1924,17.73861968
Powhatan County,247,110,368,1924,29.89130435
Prince Edward County,714,140,863,1924,16.22247972
Prince George County,279,90,381,1924,23.62204724
Prince William County,847,269,1168,1924,23.03082192
Princess Anne County,690,137,858,1924,15.96736597
Pulaski County,1767,1422,3279,1924,43.36688015
Radford City,394,314,807,1924,38.90954151
Rappahannock County,395,89,505,1924,17.62376238
Richmond County,340,125,471,1924,26.53927813
Richmond City,9904,2600,13411,1924,19.38707032
Roanoke County,1078,695,1888,1924,36.81144068
Roanoke City,3930,1747,6432,1924,27.16106965
Rockbridge County,1394,680,2132,1924,31.89493433
Rockingham County,2040,1982,4122,1924,48.08345463
Russell County,2554,1848,4475,1924,41.29608939
Scott County,2177,2666,4910,1924,54.29735234
Shenandoah County,2186,2214,4534,1924,48.83105426
Smyth County,1907,2232,4170,1924,53.52517986
S. Norfolk City,281,134,439,1924,30.523918
Southampton County,1119,203,1404,1924,14.45868946
Spotsylvania County,448,255,735,1924,34.69387755
Stafford County,450,433,926,1924,46.76025918
Staunton City,1022,549,1609,1924,34.12057178
Suffolk City,557,179,760,1924,23.55263158
Surry County,388,72,502,1924,14.34262948
Sussex County,607,132,747,1924,17.67068273
Tazewell County,2568,2631,5471,1924,48.08992872
Warren County,699,150,887,1924,16.91093574
Warwick County,248,58,322,1924,18.01242236
Washington County,3083,2848,6014,1924,47.35616894
Westmoreland County,484,157,655,1924,23.96946565
Williamsburg City,196,31,227,1924,13.65638767
Winchester City,820,420,1258,1924,33.3863275
Wise County,4157,3322,8215,1924,40.43822276
Wythe County,1899,1996,3944,1924,50.60851927
York County,305,75,395,1924,18.98734177
TOTALS,139716,73312,223405,1924,32.81573823
Accomack County,1826,1367,3193,1928,42.81240213
Albemarle County,1571,846,2417,1928,35.00206868
Alexandria City,1307,1617,2924,1928,55.30095759
Alleghany County,622,1642,2264,1928,72.52650177
Amelia County,498,277,775,1928,35.74193548
Amherst County,1442,447,1889,1928,23.66331392
Appomattox County,885,446,1331,1928,33.50864012
Arlington County,1444,4274,5718,1928,74.74641483
Augusta County,1507,2679,4186,1928,63.99904443
Bath County,409,731,1140,1928,64.12280702
Bedford County,1436,1118,2554,1928,43.77447142
Bland County,575,826,1401,1928,58.95788722
Botetourt County,1200,1575,2775,1928,56.75675676
Bristol City,922,630,1552,1928,40.59278351
Brunswick County,922,245,1167,1928,20.99400171
Buchanan County,1365,1333,2698,1928,49.40696812
Buckingham County,599,579,1178,1928,49.15110357
Buena Vista City,172,267,439,1928,60.82004556
Campbell County,967,801,1768,1928,45.30542986
Caroline County,639,638,1277,1928,49.96084573
Carroll County,1117,2459,3576,1928,68.7639821
Charles City County,105,207,312,1928,66.34615385
Charlotte County,1112,403,1515,1928,26.60066007
Charlottesville City,992,708,1700,1928,41.64705882
Chesterfield County,1082,1325,2407,1928,55.04777732
Clarke County,740,248,988,1928,25.10121457
Clifton Forge City,591,781,1372,1928,56.92419825
Craig County,489,451,940,1928,47.9787234
Culpeper County,836,753,1589,1928,47.38829452
Cumberland County,442,213,655,1928,32.51908397
Danville City,1196,2360,3556,1928,66.36670416
Dickenson County,1879,1868,3747,1928,49.85321591
Dinwiddie County,945,332,1277,1928,25.99843383
Elizabeth City County,807,1122,1929,1928,58.16485226
Essex County,321,195,516,1928,37.79069767
Fairfax County,1229,2507,3736,1928,67.10385439
Fauquier County,1531,972,2503,1928,38.83339992
